epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3022.16,0.04736,1.07092,0.88674,0.71295,0.75065,0.80704,0.80703,0.08783,0.68667,0.23254,0.005842,0.005842,0.005842
44,3273.37,0.04657,1.05754,0.88532,0.69776,0.76496,0.80704,0.80692,0.12389,0.70779,0.27575,0.005743,0.005743,0.005743
45,3535.61,0.04685,1.05918,0.88603,0.70141,0.77014,0.81007,0.80996,0.11669,0.69354,0.26865,0.005644,0.005644,0.005644
46,3782.6,0.04648,1.05589,0.8878,0.7042,0.76486,0.81135,0.81131,0.10936,0.68799,0.25937,0.005545,0.005545,0.005545
47,4035.51,0.04551,1.05134,0.88524,0.70945,0.76595,0.81275,0.81275,0.10708,0.67953,0.25686,0.005446,0.005446,0.005446
48,4285.61,0.0454,1.04879,0.88727,0.71783,0.75637,0.81404,0.81404,0.1046,0.67259,0.25371,0.005347,0.005347,0.005347
49,4534.05,0.04544,1.04799,0.8868,0.70985,0.76635,0.81517,0.81517,0.10548,0.66981,0.25513,0.005248,0.005248,0.005248
50,4782.15,0.04484,1.04357,0.88504,0.70861,0.76857,0.81537,0.81537,0.10397,0.67239,0.25196,0.005149,0.005149,0.005149
51,5029.58,0.04409,1.03596,0.88761,0.71919,0.75954,0.8153,0.8153,0.10235,0.67209,0.24993,0.00505,0.00505,0.00505
52,5277.62,0.04389,1.03498,0.88572,0.71347,0.76412,0.81608,0.81608,0.10421,0.67143,0.25264,0.004951,0.004951,0.004951
53,5525.67,0.04255,1.03472,0.88549,0.72334,0.75902,0.81666,0.81666,0.09701,0.66893,0.24291,0.004852,0.004852,0.004852
54,5773.86,0.04276,1.02954,0.88608,0.72526,0.75865,0.81894,0.81894,0.07638,0.65228,0.21617,0.004753,0.004753,0.004753
55,6021.52,inf,1.02148,0.88619,0.73402,0.74891,0.81962,0.81962,0.05913,0.63068,0.19348,0.004654,0.004654,0.004654
56,6269.19,0.04261,1.02125,0.88553,0.72264,0.76755,0.8205,0.82049,0.05337,0.62186,0.18715,0.004555,0.004555,0.004555
57,6517.38,0.04214,1.01799,0.88707,0.71793,0.77258,0.82128,0.82128,0.0509,0.6196,0.18473,0.004456,0.004456,0.004456
58,6765.78,inf,1.01441,0.88624,0.72564,0.76528,0.82152,0.82152,0.04989,0.6196,0.18412,0.004357,0.004357,0.004357
59,7014.38,0.04071,1.00962,0.88636,0.71864,0.77378,0.82189,0.82189,0.0505,0.61989,0.18484,0.004258,0.004258,0.004258
60,7262.22,0.04078,1.00678,0.88582,0.72844,0.76429,0.82235,0.82235,0.05074,0.61897,0.18493,0.004159,0.004159,0.004159
61,7508.57,0.04127,1.00196,0.88545,0.72614,0.76589,0.82248,0.82248,0.05139,0.61967,0.18539,0.00406,0.00406,0.00406
62,7756.88,0.03943,0.99491,0.88555,0.72822,0.76493,0.82279,0.82279,0.05301,0.62032,0.18679,0.003961,0.003961,0.003961
63,8005.22,0.04004,0.9941,0.887,0.72573,0.76647,0.82291,0.82291,0.05355,0.62112,0.18717,0.003862,0.003862,0.003862
64,8253.26,inf,0.99712,0.88534,0.73019,0.76501,0.82301,0.82301,0.05306,0.62088,0.18662,0.003763,0.003763,0.003763
65,8501.52,inf,0.99879,0.88567,0.73393,0.75991,0.8233,0.8233,0.05304,0.62019,0.18667,0.003664,0.003664,0.003664
66,8757.62,0.03905,0.99721,0.8843,0.73273,0.76013,0.82363,0.82363,0.05292,0.61989,0.18652,0.003565,0.003565,0.003565
67,9036.4,0.03854,0.99428,0.88436,0.72033,0.77326,0.82416,0.82416,0.05281,0.61924,0.18638,0.003466,0.003466,0.003466
68,9292.06,0.03798,0.99432,0.88584,0.72015,0.77384,0.82432,0.82432,0.05249,0.61871,0.18614,0.003367,0.003367,0.003367
69,9566.41,0.03754,0.97909,0.88536,0.72005,0.77464,0.82442,0.82442,0.05241,0.61856,0.18598,0.003268,0.003268,0.003268
70,9840.68,0.03721,0.98831,0.88511,0.72931,0.76428,0.82461,0.82461,0.05248,0.61848,0.18606,0.003169,0.003169,0.003169
71,10106.3,inf,0.98201,0.8853,0.72181,0.77492,0.82481,0.82481,0.05251,0.61856,0.18601,0.00307,0.00307,0.00307
72,10354,0.03651,0.97761,0.88519,0.72368,0.77497,0.82502,0.82502,0.05293,0.61868,0.18636,0.002971,0.002971,0.002971
73,10603.4,0.03623,0.97528,0.88591,0.72352,0.77507,0.82515,0.82515,0.05334,0.61933,0.18667,0.002872,0.002872,0.002872
74,10852.1,0.03606,0.96838,0.88493,0.72236,0.77664,0.82515,0.82515,0.0535,0.61979,0.18671,0.002773,0.002773,0.002773
75,11101,0.03574,0.96814,0.88508,0.72188,0.77704,0.82539,0.82539,0.05387,0.62032,0.18701,0.002674,0.002674,0.002674
76,11351.3,0.03559,0.96846,0.88499,0.72077,0.77973,0.82553,0.82553,0.05428,0.62078,0.18727,0.002575,0.002575,0.002575
77,11599.4,0.03491,0.95777,0.88471,0.72139,0.77756,0.82574,0.82574,0.05437,0.62089,0.18727,0.002476,0.002476,0.002476
78,11848.3,0.0343,0.9527,0.88391,0.71797,0.78471,0.82586,0.82586,0.05415,0.62137,0.18707,0.002377,0.002377,0.002377
79,12096.6,inf,0.95279,0.88417,0.71847,0.78365,0.82602,0.82602,0.05429,0.62183,0.18709,0.002278,0.002278,0.002278
80,12345.1,0.03346,0.94743,0.88604,0.71895,0.78222,0.82614,0.82614,0.05457,0.62235,0.18733,0.002179,0.002179,0.002179
